4OHTAM_100nM_30m  CHEBI:41774	tamoxifen	100nM	30m	30 minutes with 100 nM 4-hydroxytamoxifen (Crawford)
4OHTAM_1uM_12hr	CHEBI:41774	tamoxifen	1uM	12h	12 hours with 1 uM 4-hydroxytamoxifen dissolved in ethanol (Struhl)
4OHTAM_1uM_36hr	CHEBI:41774	tamoxifen	1uM	36h	(To replace TAM_1uM_36hr) 36 h with 1 uM 4-hydroxytamoxifen (Myers)
4OHTAM_1uM_4hr	CHEBI:41774	tamoxifen	1uM	4h	4 hours with 1 uM 4-hydroxytamoxifen dissolved in ethanol (Struhl)
4OHTAM_20nM_72hr	CHEBI:41774	tamoxifen	20nM	72h	72 hours with 20 nM 4-hydroxytamoxifen (Stam)
Alpha-amanitin_50ug_9hr	CHEBI:37415	alpha-amanitin	50ug/mL	9h	9h with 50 ug/ml alpha-amanitin
BPA_100nM	CHEBI:31133	bisphenol A	10nm	1h	1 h with 100 nM Bisphenol A (Myers)
BPA_100nM_4hr	CHEBI:31133	bisphenol A	100nM	4h	4 h with 100 nM Bisphenol A (Myers)
Betamethasone_100nM	CHEBI:3077	betamethasone	100nM	1h	1 h with 100 nM Betamethasone (Myers)
DEX_100nM	CHEBI:41879	dexamethasone	100nM	1h	1 h with 100 nM Dexamethasone (Myers)
DEX_100pM	CHEBI:41879	dexamethasone	100pM	1h	1 h with 100 pM Dexamethasone (Myers)
DEX_1nM	CHEBI:41879	dexamethasone	1nM	1h	1 h with 1 nM Dexamethasone (Myers)
DEX_500pM	CHEBI:41879	dexamethasone	500pM	1h	1 h with 500 pM Dexamethasone (Myers)
DEX_50nM	CHEBI:41879	dexamethasone	50nM	1h	1 h with 50 nM Dexamethasone (Myers)
DEX_5nM	CHEBI:41879	dexamethasone	5nM	1h	1 h with 5 nM Dexamethasone (Myers)
DMSO_0.02pct	CHEBI:28262	dimethyl sulfoxide	0.02%	1h	1 h with 0.02% Dimethyl sufloxide (DMSO) (Myers)
DMSO_0.02pct_24hr	CHEBI:28262	dimethyl sulfoxide	0.02%	24h	24 h with 0.02% Dimethyl sufloxide (DMSO) (Myers)
DMSO_0.02pct_7d	CHEBI:28262	dimethyl sulfoxide	0.02%	7d	7 d with 0.02% Dimethyl sufloxide (DMSO) (Myers)
DMSO_2.0pct	CHEBI:28262	dimethyl sulfoxide	2%	5d	5 d with 2% Dimethyl sufloxide (DMSO) (Weissman)
DMSO_4hr	CHEBI:28262	dimethyl sulfoxide	0.02%	4hr	4 hr with 0.02% Dimethyl sufloxide (DMSO) (Myers)
EqS_2.0pct_24hr	CHEBI:5931	insulin	 unknown	24h	24 h with 2.0% Equine Serum and Insulin (Wold)
EqS_2.0pct_5d	CHEBI:5931	insulin	unknown	5d	5 d with 2.0% Equine Serum and Insulin (Wold)
EqS_2.0pct_60hr	CHEBI:5931	insulin	unknown	60h	60 h with 2.0% Equine Serum and Insulin (Wold)
EqS_2.0pct_7d	CHEBI:5931	insulin	unknown	7d	7 d with 2.0% Equine Serum and Insulin (Wold)
Estradiol_100nM_1hr	CHEBI:23965	estradiol	100nM	1h	1 h with 100 nM Estradiol, hormone treatment (Stam)
Estradiol_10nM	CHEBI:23965	estradiol	10nM	1h	1 h with 10 nM Estradiol (Myers)
Estradiol_10nM_24hr	CHEBI:23965	estradiol	10nM	24h	24 hr with 10 nM Estradiol (Myers)
Estradiol_10nM_30m	CHEBI:23965	estradiol	10nM	30m	30 min with 10nM 7b-Estradiol (Crawford)
Estradiol_10nM_4hr	CHEBI:23965	estradiol	10nM	4h	4 h with 10 nM Estradiol (Myers)
Estradiol_1nM	CHEBI:23965	estradiol	1nM	1h	1 h with 1 nM Estradiol (Myers)
