GSM409307,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
535659
      "
GSM409308,"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
DAM1494280
      "
GSM409312,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
475787
      "
GSM434776,"
H3K27me3
      ","
Upstate
      ","
07-449
      ","
DAM1514011
      "
GSM434785,"
H3K9ac
      ","
Abcam
      ","
Ab4441
      ","
511238
      "
GSM466732,"
H3K27ac
      ","
Abcam
      ","
Ab4729
      ","
454269
      "
GSM466734,"
H3K27me3
      ","
Upstate
      ","
07-449
      ","
DAM1514011
      "
GSM466737,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
475787
      "
GSM466739,"
H3K4me1
      ","
Upstate
      ","
07-436
      ","
DAM1400139
      "
GSM469965,"
H3K18ac
      ","
Abcam
      ","
Ab1191
      ","
122116
      "
GSM469966,"
H3K27ac
      ","
Abcam
      ","
Ab4729
      ","
454269
      "
GSM469967,"
H3K27ac
      ","
Abcam
      ","
Ab4729
      ","
454269
      "
GSM469968,"
H3K27me3
      ","
Upstate
      ","
07-449
      ","
DAM1514011
      "
GSM469970,"
H3K4me3
      ","
Abcam
      ","
ab8580
      ","
unknown
      "
GSM469971,"
H3K4me3
      ","
Abcam
      ","
ab8580
      ","
unknown
      "
GSM469973,"
H3K9ac
      ","
Abcam
      ","
Ab4441
      ","
511238
      "
GSM469974,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
484099
      "
GSM469975,"
H4K5ac
      ","
Upstate
      ","
07-327
      ","
30417
      "
GSM521866,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
496800
      "
GSM521868,"
H2AK5ac
      ","
Abcam
      ","
ab5152
      ","
496800
      "
GSM521869,"
H2BK120ac
      ","
Upstate
      ","
07-567
      ","
26872
      "
GSM521870,"
H2BK120ac
      ","
Upstate
      ","
07-567
      ","
26872
      "
GSM521871,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
451732
      "
GSM521873,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM521874,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM521875,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
457743
      "
GSM521877,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
727058
      "
GSM521878,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
457743
      "
GSM521879,"
H2BK20ac
      ","
Upstate
      ","
07-347
      ","
22355
      "
GSM521880,"
H2BK20ac
      ","
Upstate
      ","
07-347
      ","
22355
      "
GSM521881,"
H3K14ac
      ","
Upstate
      ","
07-353
      ","
1462567
      "
GSM521883,"
H3K14ac
      ","
Upstate
      ","
07-353
      ","
1462567
      "
