"
H3K79me2
      ","
Active Motif
      ","
39143
      ","
177
      "
"
H3K9ac
      ","
Cell Signaling Technology
      ","
9649S
      ","
1
      "
"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
"
H3T11ph
      ","
Active Motif
      ","
39152
      ","
258
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
"
H3K36me3
      ","
abcam
      ","
ab9050
      ","
947467
      "
"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
151304
      "
"
H3K4me1
      ","
Diagenode
      ","
pAB-037-050
      ","
A399-002341P
      "
"
H3K4me3
      ","
Cell Signalling
      ","
9751S
      ","
Lot#4
      "
"
H3K27me3
      ","
Diagenode
      ","
pAb069050
      ","
A29900241
      "
"
H3K4me3
      ","
CST
      ","
pAb-037-050,9751S
      ","
Lot#2
      "
"
H3K27Me3
      ","
Millipore
      ","
07-449
      ","
DAM1540736
      "
"
H3K14ac
      ","
Upstate
      ","
07-353
      ","
DAM1462567
      "
"
H3K79me2
      ","
Abcam
      ","
ab3594
      ","
573640
      "
"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
577702
      "
"
H3K27Me3
      ","
Millipore
      ","
07-449
      ","
DAM1662421
      "
"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
151302
      "
"
H3K27me3
      ","
Cell Signaling Technology
      ","
9733
      ","
1
      "
"
H3K4Me3
      ","
Abcam
      ","
ab8580
      ","
331024
      "
"
H2BK120ac
      ","
Active Motif
      ","
AM39119
      ","
255
      "
"
H2AK9ac
      ","
Upstate
      ","
07-289
      ","
22178
      "
"
H3K27me3
      ","
diagenode
      ","
pAb069050
      ","
A29900241
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
761748
      "
"
H3K79me1
      ","
Abcam
      ","
Ab2886
      ","
679856
      "
"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
122116
      "
"
H3K56ac
      ","
Upstate
      ","
07-677
      ","
DAM1462569
      "
"
H3K27Me3
      ","
Millipore
      ","
CS200603
      ","
DAM1499359
      "
"
H3K27ac
      ","
Abcam
      ","
ab4729
      ","
GR28147-1
      "
"
H2BK120ac
      ","
Active Motif
      ","
39119
      ","
255
      "
"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
496800
      "
"
H2BK5ac
      ","
Abcam
      ","
ab40886
      ","
529107
      "
"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
31610003
      "
"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
484099
      "
"
H3K9ac
      ","
Active Motif
      ","
AM39137
      ","
1008001
      "
"
H3K27me3
      ","
none
      ","
none
      ","
none
      "
"
H3K36Me3
      ","
Abcam
      ","
ab9050
      ","
136353
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
947467
      "
"
Histone H3K36me3
      ","
Active Motif
      ","
61101
      ","
16111001
      "
"
H3K4Me3
      ","
Millipore
      ","
07-473
      ","
R0903B0054
      "
"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
527530
      "
"
H3K9me3
      ","
Cell Signaling Technology
      ","
9754S
      ","
1
      "
"
H3K4me3
      ","
Millipore
      ","
07-473
      ","
DAM1623866
      "
"
H3K4Me1
      ","
Abcam
      ","
ab8895
      ","
659352
      "
"
H3K4me3
      ","
Cell Signalling
      ","
9751
      ","
Lot#2
      "
"
H3K23ac
      ","
Millipore
      ","
07-355
      ","
27133
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707948
      "
"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
484088
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
134025
      "
"
H3K23me2
      ","
Abcam
      ","
ab2370
      ","
13694
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
395432
      "
"
H3K4Me3
      ","
Abcam
      ","
ab8580
      ","
374056
      "
"
H3K4Me3
      ","
Abcam
      ","
ab8580
      ","
500363
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
NA
      "
"
H3K27me3
      ","
Upstate
      ","
07-449
      ","
DAM1514011
      "
"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
699671
      "
"
H3K9me3
      ","
diagenode
      ","
pAb05605
      ","
A930042
      "
"
H3K9me3
      ","
Diagenode
      ","
pAb056050
      ","
A930042
      "
"
H3K4me3
      ","
Millipore
      ","
07-473
      ","
DAM1644057
      "
"
H3K36me3
      ","
Diagenonde
      ","
pAb-058-050
      ","
A241-0011
      "
"
Methylcytidine
      ","
Eurogentec
      ","
BI-MECY-0100
      ","
80808
      "
"
H2A.Z
      ","
Active Motif
      ","
39113
      ","
256
      "
"
H4K12ac
      ","
Active Motif
      ","
39165
      ","
106
      "
"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
DAM 1606983
      "
"
H3K27ac
      ","
Abcam
      ","
Ab4729
      ","
454269
      "
"
H3K14ac
      ","
Abcam
      ","
ab52946
      ","
GR10517-1
      "
"
H3K9ac
      ","
Cell Signalling
      ","
9649S
      ","
1
      "
"
H3K4me3
      ","
CST
      ","
9751S
      ","
Lot#4
      "
"
H2BK120ac
      ","
Upstate
      ","
07-567
      ","
26872
      "
"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
"
H4K5ac
      ","
Millipore
      ","
07-327
      ","
DAM 1641101
      "
"
H3K56ac
      ","
Upstate
      ","
Upstate 07-677
      ","
DAM1462569
      "
"
H3K36me3
      ","
Diagenode
      ","
pAb-058-050
      ","
A241-0011
      "
"
Histone H3K4me1
      ","
Active Motif
      ","
39297
      ","
21008001
      "
"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
499302
      "
"
H3K27ac
      ","
Abcam
      ","
ab4729
      ","
509313
      "
"
Methylcytidine
      ","
Eurogentec
      ","
BI-MECY-0100
      ","
80604
      "
"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1662421
      "
"
H4K5ac
      ","
Upstate
      ","
up07-327
      ","
30417
      "
"
H3K27ac
      ","
Active Motif
      ","
AM39133
      ","
19208002
      "
"
H3K4ac
      ","
Upstate
      ","
Upstate 07-539
      ","
26747
      "
"
H3K9ac
      ","
Abcam
      ","
ab4441
      ","
550799
      "
"
H3K4me3
      ","
Millipore
      ","
Millipore 04-745
      ","
DAM 1554357
      "
"
H3K27me3
      ","
Active Motif
      ","
39155
      ","
30508004
      "
"
H3K27Me3
      ","
Upstate
      ","
07-449
      ","
dam151401
      "
"
H3K36me3
      ","
Cell Signaling Technology
      ","
9763S
      ","
1
      "
"
H3K27me3
      ","
Cell Signaling Technology
      ","
9733S
      ","
2
      "
"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
"
H3K9me3
      ","
diagenode
      ","
pAb056050
      ","
A930042
      "
"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
"
H3K4me1
      ","
Upstate
      ","
07-436
      ","
DAM1400139
      "
"
H3K4Me1
      ","
Abcam
      ","
ab8895
      ","
151302
      "
"
H3K9Ac
      ","
Millipore
      ","
07-352
      ","
24661
      "
"
H3K4me1
      ","
Diagenode
      ","
pAb-037-050
      ","
A399-002341P
      "
"
H2A.Z
      ","
Abcam
      ","
ab4174-100
      ","
460460
      "
"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
457743
      "
