biosample_document_no	biosample_no	document_no	is_current	date_created	created_by
b26e69d9-dc96-4b9c-8cd5-0b298b0c7523	MRT_A204	Crawford:MRTA204.1_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cbe16230-5e44-4404-a21a-ddece7e3cce9	Huh-7	Crawford:Huh-7_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cc336726-d2d4-437c-8dc8-8c927825733e	AG09309	Stam:AG09309_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
fbb341d4-12b7-434d-a0d6-d12978f0cdd5	Cord_CD4_Th0	Crawford:CordCD4Th0_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
95635d34-f7d3-4b09-a788-90ac65f5e7be	HBVP	Stam:HBVP_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2feb65fe-0318-46de-b869-0da407ad3d37	GM19193	Snyder:GM-generalized_Snyder_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7f66b7a2-ea82-4686-b77b-ba93e958f441	Chorion	Crawford:Chorion_and_decidua_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ac51a6a8-db82-4292-9a8f-a17aba61fb93	BC_Stomach_H12817N	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
fa68bd9f-831d-46f6-a79e-51025100ddad	hMSC-UC_0052501.7	Gingeras:hMSCUC0052501.7_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bb1facd2-ec88-487c-88af-1606c27267ad	ES-EM5Sox17huCD25	Gilbert:ES-EM5Sox17huCD25_Gilbert_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b9d8d582-d346-4b0f-abb7-db8534b20bb0	ProgFib	Crawford:progeria_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cf967270-9862-493b-981f-2601cb4b1426	EPC_(CD117-_CD71-_TER119+)	UW:EPC_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ea164564-ee7a-448e-a9bf-8353acfe2c44	Stellate	Crawford:Stellate_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
25815079-ec9b-4f3f-ac63-3eadaa6e4c59	FibroP_AG20443	Crawford:FibroP_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2412e6a9-1d26-42a4-9793-33ab92bf4a47	THelper-Activated	Stam:THelper-Activated_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6d820596-253d-4fae-bb11-35f57bb06aff	HeadlessEmbryo	Stam:HeadlessEmbryo_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f0a27583-4d51-46e8-acf6-db7f4058fb64	HL-60	Stam:HL-60_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bb4f5e78-a17c-4068-b0fa-0b5ccfd3a9a1	H9ES-E	Myers:BG02ES_and_H9ES_Myers_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b33e5f73-ce9f-4898-9ec8-b6f7b277a40e	BC_Leukocyte_UHN00204	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
53038040-b0fc-430f-8b24-71a22df6ec29	HPdLF	Stam:HPdLF_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
a56ef2c0-9eaa-4926-978f-4aafeafb2a41	Melano	Crawford:Melano_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
46c7b545-7ad6-4cb1-9b5f-f48e19236d71	Th1_Wb54553204	Stam:AdultCD4naiveTcell_Crawford.v2_PlusStam.v1_SOP.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ced56cfe-a5b8-4a68-8d19-f5b9b3e2b993	FVprogenitor	Hardison:FVprogenitor_Hardison_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3556e49c-d5a0-44b0-8e3d-6742d52cbef5	CMK	Stam:CMK_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3cee7056-b84b-478c-8121-402d1219f37a	HEK293(b)	Snyder:HEK293b_Snyder_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
391c951d-4175-40a9-8d2f-ad0996eea75b	Cord_CD4_Th1	Crawford_Stam:HumanTh1_Th2_Th17_NaiveCD4_SOP_v1b_1.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c64e46a5-a57e-412a-b8e0-247f1d4a7a71	RWPE1	Crawford:RWPE_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
715065f7-c98d-4ef1-9bb6-40bbdea2a6da	hMSC-BM_0051105.11	Gingeras:hMSCBM0051105.11_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
