1	human	BU	Orchid	None	\N	wgEncodeEH000001	2011-04-20 09:41:32
2	human	Affy	RnaChip	GM12878	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000002	2011-04-20 12:55:24
3	human	Affy	RnaChip	GM12878	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000003	2011-04-20 12:55:24
4	human	Affy	RnaChip	K562	localization=polysome rnaExtract=longNonPolyA	wgEncodeEH000004	2011-04-20 12:55:24
5	human	Affy	RnaChip	K562	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000005	2011-04-20 12:55:24
6	human	Affy	RnaChip	K562	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000006	2011-04-20 12:55:24
7	human	Affy	RnaChip	K562	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000007	2011-04-20 12:55:24
8	human	Affy	RnaChip	K562	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000008	2011-04-20 12:55:24
9	human	Affy	RnaChip	prostate	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000009	2011-04-20 12:55:24
10	human	Affy	RnaChip	prostate	localization=cell rnaExtract=longPolyA	wgEncodeEH000010	2011-04-20 12:55:24
11	human	Affy	RnaChip	K562	localization=cell rnaExtract=total	wgEncodeEH000011	2011-04-20 12:55:24
12	human	Affy	RnaChip	GM12878	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000012	2011-04-20 12:55:24
13	human	Affy	RnaChip	K562	localization=chromatin rnaExtract=total	wgEncodeEH000013	2011-04-20 12:55:24
14	human	Affy	RnaChip	K562	localization=nucleoplasm rnaExtract=total	wgEncodeEH000014	2011-04-20 12:55:24
15	human	Affy	RnaChip	K562	localization=nucleolus rnaExtract=total	wgEncodeEH000015	2011-04-20 12:55:24
16	human	Affy	RnaChip	GM12878	localization=cell rnaExtract=total	wgEncodeEH000016	2011-04-20 12:55:24
17	human	Affy	RnaChip	GM12878	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000017	2011-04-20 12:55:24
18	human	Affy	RnaChip	HepG2	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000018	2011-04-20 12:55:24
19	human	Affy	RnaChip	HepG2	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000019	2011-04-20 12:55:24
20	human	Affy	RnaChip	NHEK	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000020	2011-04-20 12:55:24
21	human	Affy	RnaChip	NHEK	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000021	2011-04-20 12:55:24
22	human	Affy	RnaChip	NHEK	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000022	2011-04-20 12:55:24
23	human	Affy	RnaChip	NHEK	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000023	2011-04-20 12:55:24
24	human	Affy	RnaChip	HepG2	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000024	2011-04-20 12:55:24
25	human	Affy	RnaChip	HepG2	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000025	2011-04-20 12:55:24
