biosample_property_no	biosample_no	property_name	property_value	is_current	date_created	created_by
41b60d64-6d50-4397-bd8f-66cba946e5c8	MRT_A204	orderUrl	http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=HTB-82&Template=cellBiology	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1afbd026-407e-4d35-b7ab-e93a4a84e259	MRT_A204	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
92424e7a-fe9c-4362-b1f5-bdd4625f5e36	MRT_A204	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
736f8480-4e9c-4ee3-9925-6e1a9aa98352	MRT_A204	karyotype	cancer	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
97b80d89-ba18-45e0-986d-91ffcaaa2341	MRT_A204	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cd55e78e-0aa1-4317-b64b-23a8740eab43	Huh-7	orderUrl	http://www.dukehealth.org/physicians/ravi_r_jhaveri	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
70615b27-337d-4e49-97a2-0f8d227d1b68	Huh-7	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
78b52408-bb43-4fb1-a6d0-9ff6e60d08d3	Huh-7	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3cda1d42-892a-473c-8b61-1c3ceaf1abb7	Huh-7	karyotype	cancer	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d6a8ac58-0857-4cb8-86be-e63ffb03fb83	Huh-7	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e5804a2d-17a2-4363-9cc1-29fda3b40be0	AG09309	orderUrl	http://ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=AG09309	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4cc5471d-d1ab-4625-aa50-0cc6cf2cdd97	AG09309	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1ecd8df7-ff98-4d93-b454-f4b1e756ad62	AG09309	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ebccbaae-caee-43f6-86eb-4e69bd3810d8	AG09309	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
9ccf8905-bee8-43d2-9d48-b949d4c105bd	AG09309	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d6d56e29-5e8a-410c-8f3a-d08f866a9a49	Cord_CD4_Th0	orderUrl	http://138.26.61.118/depts/MEB/SOMResearchFaculty/currentfacultydata.asp?ID=DRDRDR	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2b843294-5c1b-4e8e-aafc-ac393ed988a7	Cord_CD4_Th0	sex	B	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7a7f628e-4d1c-4996-be37-b2bf1e521887	Cord_CD4_Th0	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
364a406e-8b22-4f99-9e11-dfec6ca85d87	Cord_CD4_Th0	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
0518ba7f-9f02-4e91-ac74-437a3529ad2e	Cord_CD4_Th0	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4a0c599d-5689-49ab-a276-7e94854aa934	HBVP	orderUrl	http://www.sciencellonline.com/site/productDetails.php?keyword=1200	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4e0dc5aa-6405-43be-9a1c-ad0cc5ef4f35	HBVP	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
662e3ae7-3f55-4ab4-8f12-7e744b41816e	HBVP	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b6fd03e5-d45e-48ce-9822-f16d6bafc749	HBVP	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
23e2b813-f65e-46d8-b6dc-d245234e99b6	HBVP	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
11b4a330-1f5b-4926-b51d-43c3b9819b75	GM19193	orderUrl	http://ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=GM19193	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
39e08b94-237b-48f7-bf6a-c0cd17b04aab	GM19193	sex	F	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
