organism_name genus species strain  individual  taxon_id
human Homo  sapiens null  null  9606
rabbit  Oryctolagus cuniculus null  null  9986
rat Rattus  norvegicus  null  null  10116
mouse Mus musculus  unknown  null  10090
sheep Ovis  aries null  null  9940
goat  Capra hircus  null  null  9925
mouse	Mus	musculus	129/Ola 	null 10090
mouse	Mus	musculus	129 	null 10090
mouse	Mus	musculus	B6CBAF1/J 	null 10090
mouse	Mus	musculus	DBA/2 	null 10090
mouse	Mus	musculus	RIII 	null 10090
mouse	Mus	musculus	129S4/SvJae 	null 10090
mouse	Mus	musculus	C57BL/6J 	null 10090
mouse	Mus	musculus	BALB/cAnN 	null  10090
mouse	Mus	musculus	129S1/SV1mj 	null 10090
mouse	Mus	musculus	NIH/Swiss 	null 10090
mouse	Mus	musculus	B10.H-2aH-4bp/Wts 	null 10090
mouse	Mus	musculus	C57BL/6 	ES-Bruce4 10090
mouse	Mus	musculus	C3H 	C2C12 10090
mouse	Mus	musculus	129S2/SvPas 	null 10090
mouse  Mus	musculus	CD-1 	null 10090
mouse  Mus  musculus	Spretus.BL6-Xist 	null 10090
mouse  Mus  musculus  B6D2F1/J 	null 10090
