target_term_id  target_label  organism  target_symbol target_gene_name  target_class  url_no  is_current  date_created  created_by
Q99856  ARID3A 	Human 	null 	ARID3A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P18846 	ATF1 	Human 	null 	ATF1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P15336 	ATF2 	Human 	null 	ATF2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P18847 	ATF3 	Human 	null 	ATF3 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O14867 	BACH1 	Human 	null 	BACH1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q16520 	BATF 	Human 	null 	BATF 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9H165 	BCL11A 	Human 	null 	BCL11A 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P20749 	BCL3 	Human 	null 	BCL3 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9NYF8 	BCLAF1 	Human 	null 	BCLAF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
A6H8Y1 	BDP1 	Human 	null 	BDP1 	Pol3F 	null 	TRUE 	30-SEP-2012	ENCODE2
O14503 	BHLHE40 	Human 	null 	BHLHE40 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O35185 	BHLHE40 	Mouse 	null 	Bhlhe40 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P38398 	BRCA1 	Human 	null 	BRCA1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92994 	BRF1 	Human 	null 	BRF1 	Pol3F 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9HAW0 	BRF2 	Human 	null 	BRF2 	Pol3F 	null 	TRUE 	30-SEP-2012	ENCODE2
P20290 	BTF3 	Human 	null 	BTF3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q14781 	CBX2 	Human 	null 	CBX2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13185 	CBX3 	Human 	null 	CBX3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9HC52 	CBX8 	Human 	null 	CBX8 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O60563 	CCNT1 	Human 	null 	CCNT1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O60583 	CCNT2 	Human 	null 	CCNT2 	Other 	null 	TRUE 	30-SEP-2012	ENCODE2
P50750 	CDK9 	Human 	null 	CDK9 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P17676 	CEBPB 	Human 	null 	CEBPB 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P28033 	CEBPB 	Mouse 	null 	Cebpb 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P49716 	CEBPD 	Human 	null 	CEBPD 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q03701 	CEBPZ 	Human 	null 	CEBPZ 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92879 	CELF1 	Human 	null 	CELF1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O14646 	CHD1 	Human 	null 	CHD1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P40201 	CHD1 	Mouse 	null 	Chd1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O14647 	CHD2 	Human 	null 	CHD2 	ChromRem 	null 	TRUE 	30-SEP-2012	ENCODE2
missing CHD2 	Mouse 	null 	missing 	ChromRem 	null 	TRUE 	30-SEP-2012	ENCODE2
Q14839 	CHD4 	Human 	null 	CHD4 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9P2D1 	CHD7 	Human 	null 	CHD7 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P16220 	CREB1 	Human 	null 	CREB1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92793 	CREBBP 	Human 	null 	CREBBP 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P56545 	CTBP2 	Human 	null 	CTBP2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P49711 	CTCF 	Human 	null 	CTCF 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q61164 	CTCF 	Mouse 	null 	Ctcf 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8NI51 	CTCFL 	Human 	null 	CTCFL 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P39880 	CUX1 	Human 	null 	CUX1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q01094 	E2F1 	Human 	null 	E2F1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q16254 	E2F4 	Human 	null 	E2F4 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8R0K9 	E2F4 	Mouse 	null 	E2f4 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O75461 	E2F6 	Human 	null 	E2F6 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UH73 	EBF1 	Human 	null 	EBF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P18146 	EGR1 	Human 	null 	EGR1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15717 	ELAVL1 	Human 	null 	ELAVL1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P32519 	ELF1 	Human 	null 	ELF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P19419 	ELK1 	Human 	null 	ELK1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P28324 	ELK4 	Human 	null 	ELK4 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q09472 	EP300 	Human 	null 	EP300 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
B2RWS6 	EP300 	Mouse 	null 	Ep300 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
P03372 	ESR1 	Human 	null 	ESR1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P11474 	ESRRA 	Human 	null 	ESRRA 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P14921 	ETS1 	Human 	null 	ETS1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P27577 	ETS1 	Mouse 	null 	Ets1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15910 	EZH2 	Human 	null 	EZH2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8NEM7 	FAM48A 	Human 	null 	FAM48A 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
P26323 	FLI1 	Mouse 	null 	Fli1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P01100 	FOS 	Human 	null 	FOS 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P15407 	FOSL1 	Human 	null 	FOSL1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P48755 	FOSL1 	Mouse 	null 	Fosl1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P15408 	FOSL2 	Human 	null 	FOSL2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P55317 	FOXA1 	Human 	null 	FOXA1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9Y261 	FOXA2 	Human 	null 	FOXA2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q08050 	FOXM1 	Human 	null 	FOXM1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O15409 	FOXP2 	Human 	null 	FOXP2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q06546 	GABPA 	Human 	null 	GABPA 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q00422 	GABPA 	Mouse 	null 	Gabpa 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P15976 	GATA1 	Human 	null 	GATA1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P17679 	GATA1 	Mouse 	null 	Gata1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P23769 	GATA2 	Human 	null 	GATA2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O09100 	GATA2 	Mouse 	null 	Gata2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P23771 	GATA3 	Human 	null 	GATA3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P04150 	GRp20 	Human 	null 	NR3C1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q00403 	GTF2B 	Human 	null 	GTF2B 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
P35269 	GTF2F1 	Human 	null 	GTF2F1 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8WUA4 	GTF3C2 	Human 	null 	GTF3C2 	Pol3F 	null 	TRUE 	30-SEP-2012	ENCODE2
P0C0S5 	H2AFZ 	Human 	null 	H2AFZ 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K27ac 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K27ac 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K27me3 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K27me3 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K36me3 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K36me3 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K4me1 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K4me1 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K4me2 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K4me2 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K4me3 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K4me3 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K79me2 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K79me2 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K79me3 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K9ac 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K9ac 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K9me1 	Human 	null 	HIST2H3C 	null 	null 	FALSE 	30-SEP-2012	ENCODE2
Q71DI3 	H3K9me3 	Human 	null 	HIST2H3C 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3K9me3 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P84228 	H3ac 	Mouse 	null 	Hist1h3b 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P62805 	H4K20me1 	Human 	null 	HIST2H4A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q01094 	HA-E2F1 	Human 	null 	E2F1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P51610 	HCFC1 	Human 	null 	HCFC1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q61191 	HCFC1 	Mouse 	null 	Hcfc1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13547 	HDAC1 	Human 	null 	HDAC1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92769 	HDAC2 	Human 	null 	HDAC2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UBN7 	HDAC6 	Human 	null 	HDAC6 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9Y5J3 	HEY1 	Human 	null 	HEY1 	TFSS 	null 	FALSE 	30-SEP-2012	ENCODE2
P05114 	HMGN1 	Human 	null 	HMGN1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15651 	HMGN3 	Human 	null 	HMGN3 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
P41235 	HNF4A 	Human 	null 	HNF4A 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q14541 	HNF4G 	Human 	null 	HNF4G 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q00613 	HSF1 	Human 	null 	HSF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9NZI8 	IGF2BP1 	Human 	null 	IGF2BP1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13422 	IKZF1 	Human 	null 	IKZF1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P10914 	IRF1 	Human 	null 	IRF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q14653 	IRF3 	Human 	null 	IRF3 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15306 	IRF4 	Human 	null 	IRF4 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q00978 	IRF9 	Human 	null 	IRF9 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P05412 	JUN 	Human 	null 	JUN 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P05627 	JUN 	Mouse 	null 	Jun 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P17535 	JUND 	Human 	null 	JUND 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P15066 	JUND 	Mouse 	null 	Jund 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13263 	KAP1 	Human 	null 	TRIM28 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92830 	KAT2A 	Human 	null 	KAT2A 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92831 	KAT2B 	Human 	null 	KAT2B 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O60341 	KDM1A 	Human 	null 	KDM1A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O75164 	KDM4A 	Human 	null 	KDM4A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P29375 	KDM5A 	Human 	null 	KDM5A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UGL1 	KDM5B 	Human 	null 	KDM5B 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UJU2 	LEF1 	Human 	null 	LEF1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9ULX9 	MAFF 	Human 	null 	MAFF 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O60675 	MAFK 	Human 	null 	MAFK 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q61827 	MAFK 	Mouse 	null 	Mafk 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P61244 	MAX 	Human 	null 	MAX 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P28574 	MAX 	Mouse 	null 	Max 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P56270 	MAZ 	Human 	null 	MAZ 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P56671 	MAZ 	Mouse 	null 	Maz 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O95243 	MBD4 	Human 	null 	MBD4 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15648 	MED1 	Human 	null 	MED1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O95402 	MED26 	Human 	null 	MED26 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q02078 	MEF2A 	Human 	null 	MEF2A 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q06413 	MEF2C 	Human 	null 	MEF2C 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9BTC8 	MTA3 	Human 	null 	MTA3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P50539 	MXI1 	Human 	null 	MXI1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P50540 	MXI1 	Mouse 	null 	Mxi1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P06876 	MYB 	Mouse 	null 	Myb 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P10244 	MYBL2 	Human 	null 	MYBL2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P01106 	MYC 	Human 	null 	MYC 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P01108 	MYC 	Mouse 	null 	Myc 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P10085 	MYOD1 	Mouse 	null 	Myod1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P12979 	MYOG 	Mouse 	null 	Myog 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9H9S0 	NANOG 	Human 	null 	NANOG 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O75376 	NCOR1 	Human 	null 	NCOR1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O95644 	NFATC1 	Human 	null 	NFATC1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q16621 	NFE2 	Human 	null 	NFE2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P08651 	NFIC 	Human 	null 	NFIC 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P23511 	NFYA 	Human 	null 	NFYA 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P25208 	NFYB 	Human 	null 	NFYB 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P49116 	NR2C2 	Human 	null 	NR2C2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P24468 	NR2F2 	Human 	null 	NR2F2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
