treatment_property_no	treatment_no	property_name	property_value	concentration	duration	is_current	date_created	created_by
2803a064-4718-48bf-bb1f-1161914943cd	4OHTAM_100nM_30m	CHEBI:41774	tamoxifen	100nM	30m	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7dadf1b9-29a5-45fc-a068-471d4774209f	4OHTAM_1uM_12hr	CHEBI:41774	tamoxifen	1uM	12h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c5f390ad-a2d3-4fee-a889-f9926cbdafeb	4OHTAM_1uM_36hr	CHEBI:41774	tamoxifen	1uM	36h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f8940190-724c-416c-b738-64f8770640de	4OHTAM_1uM_4hr	CHEBI:41774	tamoxifen	1uM	4h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
99401094-7e79-4500-9539-972f471b8d77	4OHTAM_20nM_72hr	CHEBI:41774	tamoxifen	20nM	72h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
0ca31670-d6ad-4a69-acd4-386bb6e613a5	Alpha-amanitin_50ug_9hr	CHEBI:37415	alpha-amanitin	50ug/mL	9h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ddb0b43c-b703-41de-ab99-14c1b82ea9c5	BPA_100nM	CHEBI:31133	bisphenol A	10nm	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cd7b39d8-d2e3-42d5-a8ef-a41d3591d741	BPA_100nM_4hr	CHEBI:31133	bisphenol A	100nM	4h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
519b2382-d8ac-4d27-a03c-2b0668cdbee4	Betamethasone_100nM	CHEBI:3077	betamethasone	100nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2fce1ffe-36c8-4e96-a6ef-3c3c2b94f321	DEX_100nM	CHEBI:41879	dexamethasone	100nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c66a4f7a-9b59-4655-8110-8946c35b97e1	DEX_100pM	CHEBI:41879	dexamethasone	100pM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f38821cb-b9c3-466b-97e8-0c3911498010	DEX_1nM	CHEBI:41879	dexamethasone	1nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
fe9d4072-8c63-4876-ac02-0ca780e646a8	DEX_500pM	CHEBI:41879	dexamethasone	500pM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
aa0f7a82-2305-41e5-9a5a-e32063d20707	DEX_50nM	CHEBI:41879	dexamethasone	50nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
af5fa951-e9b6-47b9-a222-9437bce98c54	DEX_5nM	CHEBI:41879	dexamethasone	5nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
efd0fff0-5a38-4c2d-b33b-b92373239dab	DMSO_0.02pct	CHEBI:28262	dimethyl sulfoxide	0.02%	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
004cb35e-878a-457e-88a7-a1e04fe1baf5	DMSO_0.02pct_24hr	CHEBI:28262	dimethyl sulfoxide	0.02%	24h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1d44367a-6580-4bf0-8bee-e59a28ef2bce	DMSO_0.02pct_7d	CHEBI:28262	dimethyl sulfoxide	0.02%	7d	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
94f30273-33af-4555-9542-ab458856a8a8	DMSO_2.0pct	CHEBI:28262	dimethyl sulfoxide	2%	5d	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7c29f2bd-0b72-463e-855e-b9ae6e3183a3	DMSO_4hr	CHEBI:28262	dimethyl sulfoxide	0.02%	4hr	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
916873d9-8daf-49c6-ab8b-ba89d4493663	EqS_2.0pct_24hr	CHEBI:5931	insulin	 unknown	24h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1ff7141a-46a6-4c07-9f68-667c9457fa65	EqS_2.0pct_5d	CHEBI:5931	insulin	unknown	5d	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d1d7e164-4338-42c2-bab6-4fc737d1f785	EqS_2.0pct_60hr	CHEBI:5931	insulin	unknown	60h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
08a07dc0-7097-4e8d-9165-de144aff0214	EqS_2.0pct_7d	CHEBI:5931	insulin	unknown	7d	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d5a494bd-c540-410f-9bc0-1b626474fe54	Estradiol_100nM_1hr	CHEBI:23965	estradiol	100nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
83155e97-a41a-4ed7-9848-4cd80f98556c	Estradiol_10nM	CHEBI:23965	estradiol	10nM	1h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
5e5498d5-5026-466a-bdb1-d4b3462cf9e9	Estradiol_10nM_24hr	CHEBI:23965	estradiol	10nM	24h	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
